lokasi_omzet_penjualan,jenis_komoditi,volume,satuan,omzet
Pasar Bunga Rawabelong,Melati,8221,Bks,283975000
Pasar Bunga Rawabelong,Pihong,1847,Ktg,21525000
Pasar Bunga Rawabelong,Kenanga,905,Ktg,18395000
Pasar Bunga Rawabelong,Kantil,20,Bks,1000000
Pasar Bunga Rawabelong,Ros Kampung/Ros Cipanas ,0,Ikat,0
Pasar Bunga Rawabelong,Ros Rontokan  Malang,1303,Ktg,33820000
Pasar Bunga Rawabelong,Mawar Tabur,1028,Bks,17065000
Pasar Bunga Rawabelong,Pandan Iris,1808,Ktg,21080000
Pasar Bunga Rawabelong,Daun Sirih,325,Ikat,1625000
Pasar Bunga Rawabelong,Buah Pinang,245,Ikat,2450000
Pasar Bunga Rawabelong,Nanas Muda,45,Buah,675000
Pasar Bunga Rawabelong,Sedap Malam,750,Gabung,150000000
Pasar Bunga Rawabelong,Gladiol,336,Ikat,8400000
Pasar Bunga Rawabelong,Ros Semy Holand Cipanas,2844,Ikat,227520000
Pasar Bunga Rawabelong,Ros Malang,3235,Ikat,144280000
Pasar Bunga Rawabelong,Hebras/Gerbera,1103,Ikat,66990000
Pasar Bunga Rawabelong,Lely,27,kuntum,1350000
Pasar Bunga Rawabelong,Pikok,4980,Ikat,82795000
Pasar Bunga Rawabelong,Bunga  Balon,11,Ikat,110000
Pasar Bunga Rawabelong,Aster (Cipanas),1196,Ikat,19875000
Pasar Bunga Rawabelong,Krisan (Cipanas),984,Ikat,21300000
Pasar Bunga Rawabelong,Bunga Matahari,176,Ikat,8620000
Pasar Bunga Rawabelong,Bunga Teratai,0,Ikat,0
Pasar Bunga Rawabelong,Aster (PT),6720,Ikat,111440000
Pasar Bunga Rawabelong,Krisan Std (PT),2964,Ikat,64170000
Pasar Bunga Rawabelong,Gerbera (PT),1606,Ikat,32120000
Pasar Bunga Rawabelong,Casablanca,1015,Ikat,172810000
Pasar Bunga Rawabelong,Solidago,802,Ikat,16040000
Pasar Bunga Rawabelong,Carnation,1247,Ikat,43225000
Pasar Bunga Rawabelong,Asiatik,0,Ikat,0
Pasar Bunga Rawabelong,Amarantus,24,Ikat,480000
Pasar Bunga Rawabelong,Lysiantus,0,Ikat,0
Pasar Bunga Rawabelong,Snap Dragon,1089,Ikat,27225000
Pasar Bunga Rawabelong,Kala Lily,93,Ikat,4650000
Pasar Bunga Rawabelong,Hortensia,1198,Ikat,29950000
Pasar Bunga Rawabelong,Agapantus,31,Ikat,1550000
Pasar Bunga Rawabelong,Statis,45,Ikat,1125000
